영역,교재,페이지,등급,등급명,사고사례,등급사유
반도체개발,LM1903060101_23v6_반도체_제품_기획,19,1,미흡·없음,아니오,키워드 1건 (5건 이하): 부상(1)
반도체개발,LM1903060101_23v6_반도체_제품_기획,20,1,미흡·없음,아니오,키워드 1건 (5건 이하): 부상(1)
반도체개발,LM1903060101_23v6_반도체_제품_기획,22,1,미흡·없음,아니오,키워드 2건 (5건 이하): 위험(2)
반도체개발,LM1903060101_23v6_반도체_제품_기획,25,1,미흡·없음,아니오,키워드 1건 (5건 이하): 안전(1)
반도체개발,LM1903060101_23v6_반도체_제품_기획,28,1,미흡·없음,아니오,"키워드 2건 (5건 이하): 안전(1), 유의 사항(1)"
반도체개발,LM1903060101_23v6_반도체_제품_기획,40,1,미흡·없음,아니오,키워드 1건 (5건 이하): 위험(1)
반도체개발,LM1903060101_23v6_반도체_제품_기획,61,1,미흡·없음,아니오,"키워드 2건 (5건 이하): 안전(1), 유의 사항(1)"
반도체개발,LM1903060101_23v6_반도체_제품_기획,70,1,미흡·없음,아니오,"키워드 2건 (5건 이하): 안전(1), 소음(1)"
반도체개발,LM1903060101_23v6_반도체_제품_기획,72,1,미흡·없음,아니오,"키워드 3건 (5건 이하): 안전(1), 유의 사항(1), 주의(1)"
반도체개발,LM1903060101_23v6_반도체_제품_기획,77,1,미흡·없음,아니오,키워드 1건 (5건 이하): 위험(1)
반도체개발,LM1903060101_23v6_반도체_제품_기획,86,1,미흡·없음,아니오,"키워드 2건 (5건 이하): 안전(1), 유의 사항(1)"
반도체개발,LM1903060101_23v6_반도체_제품_기획,93,1,미흡·없음,아니오,"키워드 2건 (5건 이하): 안전(1), 유의 사항(1)"
반도체개발,LM1903060101_23v6_반도체_제품_기획,105,1,미흡·없음,아니오,"키워드 3건 (5건 이하): 안전(1), 유의 사항(1), 주의(1)"
반도체개발,LM1903060101_23v6_반도체_제품_기획,108,1,미흡·없음,아니오,키워드 1건 (5건 이하): 보건(1)
반도체개발,LM1903060101_23v6_반도체_제품_기획,111,1,미흡·없음,아니오,키워드 1건 (5건 이하): 위험(1)
반도체개발,LM1903060101_23v6_반도체_제품_기획,112,1,미흡·없음,아니오,"키워드 2건 (5건 이하): 안전(1), 유의 사항(1)"
반도체개발,LM1903060101_23v6_반도체_제품_기획,119,1,미흡·없음,아니오,"키워드 2건 (5건 이하): 안전(1), 유의 사항(1)"
반도체개발,LM1903060101_23v6_반도체_제품_기획,128,1,미흡·없음,아니오,키워드 2건 (5건 이하): 위험(2)
반도체개발,LM1903060101_23v6_반도체_제품_기획,131,1,미흡·없음,아니오,키워드 1건 (5건 이하): 위험(1)
반도체개발,LM1903060101_23v6_반도체_제품_기획,134,1,미흡·없음,아니오,"키워드 2건 (5건 이하): 안전(1), 유의 사항(1)"
반도체개발,LM1903060101_23v6_반도체_제품_기획,143,1,미흡·없음,아니오,"키워드 3건 (5건 이하): 안전(1), 유해(1), 유의사항(1)"
반도체개발,LM1903060101_23v6_반도체_제품_기획,147,1,미흡·없음,아니오,"키워드 2건 (5건 이하): 안전(1), 보건(1)"
반도체개발,LM1903060101_23v6_반도체_제품_기획,153,1,미흡·없음,아니오,"키워드 3건 (5건 이하): 사고(1), 안전(1), 유의사항(1)"
반도체개발,LM1903060101_23v6_반도체_제품_기획,154,1,미흡·없음,아니오,키워드 2건 (5건 이하): 위험(2)
반도체개발,LM1903060101_23v6_반도체_제품_기획,162,1,미흡·없음,아니오,"키워드 3건 (5건 이하): 사고(1), 위험(1), 주의(1)"
반도체개발,LM1903060101_23v6_반도체_제품_기획,163,1,미흡·없음,아니오,"키워드 2건 (5건 이하): 위험(1), 주의(1)"
반도체개발,LM1903060101_23v6_반도체_제품_기획,169,1,미흡·없음,아니오,키워드 1건 (5건 이하): 안전(1)
반도체개발,LM1903060102_23v5_반도체_아키텍처_설계,22,1,미흡·없음,아니오,"키워드 2건 (5건 이하): 안전(1), 유의사항(1)"
반도체개발,LM1903060102_23v5_반도체_아키텍처_설계,31,1,미흡·없음,아니오,키워드 1건 (5건 이하): 위험(1)
반도체개발,LM1903060102_23v5_반도체_아키텍처_설계,35,1,미흡·없음,아니오,"키워드 2건 (5건 이하): 안전(1), 유의사항(1)"
반도체개발,LM1903060102_23v5_반도체_아키텍처_설계,45,1,미흡·없음,아니오,키워드 1건 (5건 이하): 위험(1)
반도체개발,LM1903060102_23v5_반도체_아키텍처_설계,48,2,형식적 언급,아니오,"안전 12건 [위험(12)], 구체적 조치 언급 없음"
반도체개발,LM1903060102_23v5_반도체_아키텍처_설계,49,2,형식적 언급,아니오,"안전 6건 [위험(4), 안전(1), 유의사항(1)], 구체적 조치 언급 없음"
