영역,교재,페이지,등급,등급명,사고사례,등급사유,상태,출처,md자수,pdf자수,구라벨
반도체개발,LM1903060101_23v6_반도체_제품_기획,18,1,미흡·없음,아니오,"안전 1건 [부상(1)], 구체적 조치 언급 없음",resolved,text,694,695,19
반도체개발,LM1903060101_23v6_반도체_제품_기획,19,1,미흡·없음,아니오,"안전 1건 [부상(1)], 구체적 조치 언급 없음",resolved,text,716,697,20
반도체개발,LM1903060101_23v6_반도체_제품_기획,22,1,미흡·없음,아니오,"안전 2건 [위험(2)], 조치 1건 [마스크(1)]",resolved,text,1013,873,22
반도체개발,LM1903060101_23v6_반도체_제품_기획,25,1,미흡·없음,아니오,"안전 1건 [안전(1)], 구체적 조치 언급 없음",resolved,text,1140,1134,25
반도체개발,LM1903060101_23v6_반도체_제품_기획,27,1,미흡·없음,아니오,"안전 2건 [안전(1), 유의 사항(1)], 구체적 조치 언급 없음",resolved,text,521,607,143
반도체개발,LM1903060101_23v6_반도체_제품_기획,28,1,미흡·없음,아니오,"안전 0건 [], 구체적 조치 언급 없음",resolved,text,934,936,28
반도체개발,LM1903060101_23v6_반도체_제품_기획,40,1,미흡·없음,아니오,"안전 1건 [위험(1)], 구체적 조치 언급 없음",resolved,text,711,639,40
반도체개발,LM1903060101_23v6_반도체_제품_기획,61,1,미흡·없음,아니오,"안전 2건 [안전(1), 유의 사항(1)], 구체적 조치 언급 없음",resolved,text,806,808,61
반도체개발,LM1903060101_23v6_반도체_제품_기획,69,1,미흡·없음,아니오,"안전 2건 [안전(1), 소음(1)], 구체적 조치 언급 없음",resolved,text,1065,976,70
반도체개발,LM1903060101_23v6_반도체_제품_기획,72,1,미흡·없음,아니오,"안전 2건 [안전(1), 유의 사항(1)], 구체적 조치 언급 없음",resolved,text-fallback,834,836,72
반도체개발,LM1903060101_23v6_반도체_제품_기획,77,1,미흡·없음,아니오,"안전 1건 [위험(1)], 구체적 조치 언급 없음",resolved,text,363,355,77
반도체개발,LM1903060101_23v6_반도체_제품_기획,86,1,미흡·없음,아니오,"안전 2건 [안전(1), 유의 사항(1)], 구체적 조치 언급 없음",resolved,text,536,538,86
반도체개발,LM1903060101_23v6_반도체_제품_기획,93,1,미흡·없음,아니오,"안전 2건 [안전(1), 유의 사항(1)], 구체적 조치 언급 없음",resolved,text,463,448,93
반도체개발,LM1903060101_23v6_반도체_제품_기획,104,1,미흡·없음,아니오,"안전 3건 [안전(1), 주의(1), 유의 사항(1)], 구체적 조치 언급 없음",resolved,text,602,604,105
반도체개발,LM1903060101_23v6_반도체_제품_기획,108,1,미흡·없음,아니오,"안전 1건 [보건(1)], 구체적 조치 언급 없음",resolved,text,726,684,108
반도체개발,LM1903060101_23v6_반도체_제품_기획,110,1,미흡·없음,아니오,"안전 1건 [위험(1)], 구체적 조치 언급 없음",resolved,text,936,938,111
반도체개발,LM1903060101_23v6_반도체_제품_기획,112,1,미흡·없음,아니오,"안전 2건 [안전(1), 유의 사항(1)], 구체적 조치 언급 없음",resolved,text,600,617,112
반도체개발,LM1903060101_23v6_반도체_제품_기획,119,1,미흡·없음,아니오,"안전 2건 [안전(1), 유의 사항(1)], 구체적 조치 언급 없음",resolved,text,444,438,119
반도체개발,LM1903060101_23v6_반도체_제품_기획,127,1,미흡·없음,아니오,"안전 2건 [위험(2)], 구체적 조치 언급 없음",resolved,text,537,604,128
반도체개발,LM1903060101_23v6_반도체_제품_기획,131,1,미흡·없음,아니오,"안전 1건 [위험(1)], 구체적 조치 언급 없음",resolved,text,994,997,131
반도체개발,LM1903060101_23v6_반도체_제품_기획,134,1,미흡·없음,아니오,"안전 2건 [안전(1), 유의 사항(1)], 구체적 조치 언급 없음",resolved,text,546,516,134
