교재,페이지,등급,등급명,사고사례,등급사유,절단
반도체 기초기술 1 (크리아트),12,1,미흡·없음,아니오,"키워드 2건 (5건 이하): 안전(1), 유의사항(1)",아니오
반도체 기초기술 1 (크리아트),13,1,미흡·없음,아니오,키워드 1건 (5건 이하): 안전(1),아니오
반도체 기초기술 1 (크리아트),20,1,미흡·없음,아니오,"키워드 2건 (5건 이하): 안전(1), 유의사항(1)",아니오
반도체 기초기술 1 (크리아트),23,1,미흡·없음,아니오,키워드 1건 (5건 이하): 안전(1),아니오
반도체 기초기술 1 (크리아트),27,1,미흡·없음,아니오,키워드 1건 (5건 이하): 진동(1),아니오
반도체 기초기술 1 (크리아트),34,1,미흡·없음,아니오,"키워드 2건 (5건 이하): 안전(1), 유의사항(1)",아니오
반도체 기초기술 1 (크리아트),44,1,미흡·없음,아니오,키워드 1건 (5건 이하): 진동(1),아니오
반도체 기초기술 1 (크리아트),45,1,미흡·없음,아니오,"키워드 3건 (5건 이하): 안전(1), 유의사항(1), 주의(1)",아니오
반도체 기초기술 1 (크리아트),49,1,미흡·없음,아니오,"키워드 2건 (5건 이하): 안전(1), 유의사항(1)",아니오
반도체 기초기술 1 (크리아트),50,1,미흡·없음,아니오,"키워드 2건 (5건 이하): 안전(1), 유의사항(1)",아니오
반도체 기초기술 1 (크리아트),54,2,형식적 언급,아니오,"안전 6건 [사고(1), 안전(1), 위험(1), 진동(1), 먼지(1), 주의(1)] (구체적 대책 미흡)",아니오
반도체 기초기술 1 (크리아트),91,1,미흡·없음,아니오,"키워드 3건 (5건 이하): 안전(1), 위험(1), 폭발(1)",아니오
반도체 기초기술 1 (크리아트),92,1,미흡·없음,아니오,"키워드 4건 (5건 이하): 안전(1), 폭발(1), 감전(1), 소음(1)",아니오
반도체 기초기술 1 (크리아트),93,1,미흡·없음,아니오,키워드 1건 (5건 이하): 먼지(1),아니오
반도체 기초기술 1 (크리아트),102,1,미흡·없음,아니오,키워드 2건 (5건 이하): 먼지(2),아니오
반도체 기초기술 1 (크리아트),103,1,미흡·없음,아니오,키워드 1건 (5건 이하): 먼지(1),아니오
반도체 기초기술 1 (크리아트),119,1,미흡·없음,아니오,키워드 1건 (5건 이하): 소음(1),아니오
반도체 기초기술 1 (크리아트),121,1,미흡·없음,아니오,키워드 1건 (5건 이하): 위험(1),아니오
반도체 기초기술 1 (크리아트),122,1,미흡·없음,아니오,키워드 2건 (5건 이하): 누출(2),아니오
반도체 기초기술 1 (크리아트),126,1,미흡·없음,아니오,"키워드 2건 (5건 이하): 진동(1), 분진(1)",아니오
반도체 기초기술 2 (크리아트),11,1,미흡·없음,아니오,키워드 1건 (5건 이하): 진동(1),아니오
반도체 기초기술 2 (크리아트),14,1,미흡·없음,아니오,"키워드 2건 (5건 이하): 안전(1), 유의 사항(1)",아니오
반도체 기초기술 2 (크리아트),15,1,미흡·없음,아니오,키워드 1건 (5건 이하): 안전(1),아니오
반도체 기초기술 2 (크리아트),26,1,미흡·없음,아니오,"키워드 2건 (5건 이하): 안전(1), 유의 사항(1)",아니오
반도체 기초기술 2 (크리아트),27,1,미흡·없음,아니오,키워드 1건 (5건 이하): 안전(1),아니오
반도체 기초기술 2 (크리아트),35,1,미흡·없음,아니오,키워드 1건 (5건 이하): 먼지(1),아니오
반도체 기초기술 2 (크리아트),38,1,미흡·없음,아니오,키워드 2건 (5건 이하): 진동(2),아니오
반도체 기초기술 2 (크리아트),40,1,미흡·없음,아니오,"키워드 3건 (5건 이하): 안전(1), 유의 사항(1), 주의(1)",아니오
반도체 기초기술 2 (크리아트),49,1,미흡·없음,아니오,키워드 1건 (5건 이하): 방사선(1),아니오
반도체 기초기술 2 (크리아트),50,1,미흡·없음,아니오,키워드 3건 (5건 이하): 방사선(3),아니오
반도체 기초기술 2 (크리아트),88,1,미흡·없음,아니오,"키워드 3건 (5건 이하): 안전(1), 유의 사항(1), 주의(1)",아니오
반도체 기초기술 2 (크리아트),94,1,미흡·없음,아니오,키워드 1건 (5건 이하): 누출(1),아니오
반도체 기초기술 2 (크리아트),100,1,미흡·없음,아니오,키워드 1건 (5건 이하): 안전(1),아니오
